Are you sure you want the box to auto detect DiSEqC configuration?,Are you sure you want the box to auto detect DiSEqC configuration?
At this moment you reached the minimum speed to be able to enjoy the interactive features,"Právě jste dosáhli minimální rychlosti, při které si můžete užít interaktivní funkce"
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,"Vaše připojení k internetu bylo příliš nízké na to, abyste si užili interaktivní funkce. Prosím zkontrolujte, zdali není na pozadí spuštěna jiná služba, která ovlivňuje připojení k internetu."
Auto DiSEqC configuration applied,Auto DiSEqC configuration applied
Auto configuration,Auto configuration
Auto detect DiSEqC configuration,Auto detect DiSEqC configuration
Back,Zpět
"Before you can continue, you need to install this update","Než budete pokračovat, musíte nainstalovat tuto aktualizaci"
Cancel auto detection,Cancel auto detection
Cancel downloading,Cancel downloading
Cancel installing,Cancel installing
Cancel scanning,Cancel scanning
Cancel searching,Cancel searching
Canceling...,Canceling...
Cancelling search,Canceling search
Cannot check for updates now. Try again later.,Cannot check for updates now. Try again later.
Channels scanning has been aborted,Channels scanning has been aborted
Checking for updates ...,Checking for updates ...
Choose your language,Choose your language
Completed,Completed
Current configuration:,Current configuration:
Custom configuration applied,Custom configuration applied
Default configuration applied,Default configuration applied
Default settings,Default settings
DiSEqC OK,DiSEqC OK
DiSEqC auto scan cancelled,DiSEqC auto scan cancelled
DiSEqC configuration,DiSEqC configuration
DiSEqC configuration alert header,DiSEqC configuration
DiSEqC not OK,DiSEqC not OK
DiSEqC_AUTO,Auto
DiSEqC_Cancel,Cancel
DiSEqC_MANUAL_CUSTOM,Custom
DiSEqC_MANUAL_DEFAULT,Default
DiSEqC_MANUAL_OFF,off
DiSEqC_MANUAL_ON,on
DiSEqC_Save,Save
DiSEqC_UNDEFINED,Undefined
DiSEqC_port_unused,unused
Diagnostics check,Diagnostická kontrola
Do you want to apply the auto detected configuration?,Do you want to apply the auto detected configuration?
Do you want to apply the custom configuration?,Do you want to apply the custom configuration?
Do you want to apply the default configuration?,Do you want to apply the default configuration?
Downloading,Downloading
Enjoy TV,Užijte si televizi
Enjoy simply watching TV Online,Jednoduše si užijte sledování TV online
Enjoy various interactive features through network,Užijte si různé interaktivní funkce v celé síti
Enter current PIN,Zadat současný PIN
Enter new billing PIN,Zadat nový fakturační PIN
Enter new parental control PIN,Zadat nový PIN rodičovského zámku
FST OK,FST OK
FST configuration,FST configuration
FST not OK,FST not OK
FST version:,FST version:
FST:,FST:
Found {tv_num} TV channels and {radio_num} radio channels,Found {tv_num} TV channels and {radio_num} radio channels
General terms and conditions,Všeobecné obchodní podmínky
Install new update,Install new update
Installation wizard,Průvodce instalací
Installing,Installing
Language not selected,Language not selected
Language selected,Language selected
Language selection,Language selection
Last scan:,Last scan:
Make sure that your smart card is not ejected,Make sure that your smart card is not ejected
Manual configuration,Manual configuration
Most recent firmware,Nejnovější firmware
Network OK,Síť v pořádku
Network connection,Síťové připojení
Network not OK,Síť není v pořádku
New update available,Je dostupná nová aktualizace
Next,Další
No old PIN,Žádný starý PIN
No updates available,Nejsou dostupné žádné aktualizace
No upgrade available,No upgrade available
"No, keep my current configuration","No, keep my current configuration"
OTA checking upgrade availability error,OTA checking upgrade availability error
OTA upgrade,OTA upgrade
OTA upgrade error,OTA upgrade error
Parental code,Kód rodičovského zámku
Port {port},Port {port}
Previous,Předchozí
Purchase code,Nákupní kód
Purchase pin code,Nákupní pin kód
Radio channels number:,Radio channels number:
STB Upgrade,STB Upgrade
Scan again,Skenovat znovu
Scan for DVB-s channels,Scan for DVB-s channels
Search OTA upgrade,Search OTA upgrade
Searching OTA upgrade,Searching OTA upgrade
Setting DiSEqC configuration failed,Setting DiSEqC configuration failed
Skip,Přeskočit
Start,Spustit
Status:,Status:
TV channels number:,TV channels number:
TV operator:,TV operator:
Testing connection speed,Zkoušení rychlosti připojení
The interative services are reachable at the moment,The interative services are reachable at the moment
The interative services are unreachable at the moment,The interative services are unreachable at the moment
There is a newer version available: {version},There is a newer version available: {version}
There is an update available,Je dostupná aktualizace
There is no update available,Není dostupná žádná aktualizace
"To redo a step, you can select your option by pressing [OK]",Pro předělání kroku můžete zvolit jinou možnost stisknutím [OK]
Unable to complete channels scanning,Unable to complete channels scanning
Unable to start auto DiSEqC scanning,Unable to start auto DiSEqC scanning
Unable to start channels scanning,Unable to start channels scanning
Unable to start scanning,Unable to start scanning
Update now,Update now
Upgrade error,Upgrade error
Upgrade scanning has been aborted,Upgrade scanning has been aborted
We are checking the connection speed between you and our streaming servers,Kontrolujeme spojení mezi vámi a našimi streamovacími servery
We are checking the reachability of the interative services,We are checking the reachability of the interative services
Welcome,Vítejte
"Yes, apply the custom configuration","Yes, apply the custom configuration"
"Yes, apply the default configuration","Yes, apply the default configuration"
"Yes, apply the detected configuration","Yes, apply the detected configuration"
"Yes, scan now","Yes, scan now"
You can activate the Parental Controls to help manage how your children use  the Television,"Můžete aktivovat rodičovský zámek, který vám usnadní spravovat obsah vysílání pro vaše děti"
You can activate the Purchase Pin Page,Můžete aktivovat stránku nákupní PIN
You need an Internet connection to change your purchase pin code,You need an Internet connection to change your purchase pin code
Your TV decoder is up to date,Your TV decoder is up to date
Your parental code was not set succesfully,Váš rodičovský zámek nebyl úspěšně nastaven
Your parental code was set succesfully,Váš rodičovský zámek byl úspěšně nastaven
Your purchase code was not set succesfully,Váš nákupní kód nebyl úspěšně nastaven
Your purchase code was set succesfully,Váš nákupní kód byl úspěšně nastaven
Your version is up to date,Vaše verze je aktuální
never scanned,never scanned
old PIN incorrect,nesprávný starý PIN
