Actions,Funkce
Audio {1},Audio {1}
BACK,Zpět
Bookmark,Záložka
CAST,Cast
Enter your 4 digit purchase code here,Zde zadejte svůj 4místný nákupní kód
FAVORITE,Oblíbené
GENRE,Žánr
More,Více
Multiaudio,Multiaudio
PROMO,Promo
Pause TV,Režim pozastavení TV
Prime,Hlavní čas
RATE THIS MOVIE,Ohodnoťte tento film
RENT,Vypůjčit
RENT MOVIE,Vypůjčit film
Recommendations,Doporučení
Remove channel favorite,Odstranit stanici z oblíbených
Renting failed,Vypůjčení selhalo
Set channel favorite,Nastavit stanici jako oblíbenou
Social,Sociální
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Sledovat film
airdate:,datum vysílání:
catchup,zpětné sledování
live,živě
off,off
recording,nahrávka
replay,přehrát
{d:Td} days remaining,zbývá {d:Td} dnů
{hours} hours remaining,zbývá {hours} hodin
{mins} minutes remaining,zbývá {mins} minut
