All channels,Toutes les chaînes
"All recordings will be deleted, and will be gone forever.",Tous vos enregistrements vont être effacés et ne pourront pas être récupérés.
Cannot play the recording,Impossible de lire l'enregistrement
Days,Jours
Delete,Supprimer
Enter a pin code,Introduisez un code PIN
Genres,genres
Hide Adult,Hide Adult
Hide adult,Masquer adultes
My account,Mon compte
New,Nouveau
No recordings available,Enregistrements indisponibles
Planned,Plannifié
Remove recordings,Supprimer enregistrements
Select channel,Sélectionner chaîne
Settings,Paramètres
Show Adult,Show Adult
Show adult,Afficher adultes
Today,Aujourd'hui
Tomorrow,Demain
Yesterday,Hier
You can record {amount_hours} hours and store them for {amount_days} days.,Vous pouvez enregistrer {amount_hours} heures et les sauvegarder pendant {amount_days} jours.
You have the {product_name}.,Vous avez le produit {product_name}.
rec_len_mins,min
rec_len_secs,sec
recordings_all,Tous les enregistrements
recordings_new,Nouveaux enregistrements
recordings_planned,Enregistrements plannifiés
{dd} days remaining,{dd} jours restants
{hours} hours remaining,{hours} heures restantes
{hours} hours {minutes} minutes available,{hours} heures {minutes} minutes disponibles
{mins} minutes remaining,{mins} minutes restantes
{minutes} minutes available,{minutes} minutes disponibles
