All channels,Alle zenders
"All recordings will be deleted, and will be gone forever.",Alle opnamen verwijderen.
Cannot play the recording,Er is een fout opgetreden tijdens het afspelen van de opname
Days,Dagen
Delete,Verwijderen
Enter a pin code,Voer de ouderlijk toezicht code in
Genres,Genres
Hide Adult,Hide Adult
Hide adult,Verberg 18+
My account,Mijn account
New,Nieuw
No recordings available,Geen opnames beschikbaar
Planned,Gepland
Remove recordings,Opnames verwijderen
Select channel,Selecteer zender
Settings,Instellingen
Show Adult,Show Adult
Show adult,Toon 18+
Today,Vandaag
Tomorrow,Morgen
Yesterday,Gisteren
You can record {amount_hours} hours and store them for {amount_days} days.,Hiermee kan je {amount_hours} in totaal opnenmen en worden de opnames voor {amount_days} bewaard.
You have the {product_name}.,Je bent in het bezit van {product_name}.
rec_len_mins,min
rec_len_secs,sec
recordings_all,Alle opnames
recordings_new,Nog te bekijken
recordings_planned,Geplande opnames
{dd} days remaining,nog {dd} dagen beschikbaar
{hours} hours remaining,nog {hours} uur beschikbaar
{hours} hours {minutes} minutes available,{hours} uur {minutes} minuten beschikbaar
{mins} minutes remaining,nog {mins} minuten beschikbaar
{minutes} minutes available,{minutes} minuten beschikbaar
