Actions,Funkcie
Audio {1},Audio {1}
BACK,Späť
Bookmark,záložka
CAST,Obsadenie
Enter your 4 digit purchase code here,Tu zadajte Váš 4-miestny kód pre nákup
FAVORITE,obľúbený
GENRE,Žáner
More,Viac
Multiaudio,Multiaudio
PROMO,Promo
Pause TV,PauzaTV
Prime,Prime time
RATE THIS MOVIE,Ohodnotiť tento film
RENT,predplatiť
RENT MOVIE,Predplatiť film
Recommendations,Odporúčania
Remove channel favorite,Odstrániť obľúbený kanál
Renting failed,Predplatenie sa nepodarilo
Set channel favorite,Nastaviť obľúbený kanál
Social,Sociálne
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Sledovať film
airdate:,Dátum vysielania:
catchup,spätné sledovanie
live,naživo
off,off
recording,nahrávanie
replay,znovu prehrať
{d:Td} days remaining,{d:Td} zostávajúcich dní
{hours} hours remaining,{hours} zostávajúcich hodín
{mins} minutes remaining,{mins} zostávajúcich minút
