All channels,All channels
"All recordings will be deleted, and will be gone forever.","All recordings will be deleted, and will be gone forever."
Cannot play the recording,Nedá sa prehrať nahrávanie
Days,dni
Delete,Zmazať
Enter a pin code,Zadať PIN kód
Genres,Žánre
Hide Adult,Hide Adult
Hide adult,Skryť obsah pre dospelých
My account,Môj účet
New,Nové
No recordings available,Nie sú k dispozícii žiadne nahrávania
Planned,Plánované
Remove recordings,Odstrániť nahrávania
Select channel,Zvoliť kanál
Settings,Nastavenia
Show Adult,Show Adult
Show adult,Ukázať obsah pre dospelých
Today,Dnes
Tomorrow,Zajtra
Yesterday,Včera
You can record {amount_hours} hours and store them for {amount_days} days.,Môžete nahrať {amount_hours} hodín a uložiť ich na {amount_days} dní.
You have the {product_name}.,Máte {product_name}.
rec_len_mins,min
rec_len_secs,sek
recordings_all,Všetky nahrávky
recordings_new,Nové nahrávky
recordings_planned,Plánovanej nahrávky
{dd} days remaining,{dd} zostávajúcich dní
{hours} hours remaining,{hours} zostávajúcich hodín
{hours} hours {minutes} minutes available,{hours} hodín {minutes} minút k dispozícii
{mins} minutes remaining,{mins} zostávajúcich minút
{minutes} minutes available,{minutes} minút k dispozícii
