All channels,All channels
"All recordings will be deleted, and will be gone forever.","All recordings will be deleted, and will be gone forever."
Cannot play the recording,Nahrávku nelze přehrát
Days,Dny
Delete,Smazat
Enter a pin code,Zadat PIN kód
Genres,Žánry
Hide Adult,Hide Adult
Hide adult,Skrýt obsah pro dospělé
My account,Můj účet
New,Nové
No recordings available,Žádné záznamy nejsou k dispozici
Planned,Naplánováno
Remove recordings,Odstranit nahrávky
Select channel,Vybrat stanici
Settings,Nastavení
Show Adult,Show Adult
Show adult,Ukázat obsah pro dospělé
Today,Dnes
Tomorrow,Zítra
Yesterday,Včera
You can record {amount_hours} hours and store them for {amount_days} days.,Můžete nahrát {amount_hours} hodin a uložit je po {amount_days} dní.
You have the {product_name}.,Máte {product_name}.
rec_len_mins,min
rec_len_secs,sek
recordings_all,Všechny nahrávky
recordings_new,Nové nahrávky
recordings_planned,Plánované nahrávky
{dd} days remaining,zbývá {dd} dnů
{hours} hours remaining,zbývá {hours} hodin
{hours} hours {minutes} minutes available,zbývá {hours} hodin a {minutes} minut
{mins} minutes remaining,zbývá {mins} minut
{minutes} minutes available,zbývá {minutes} minut
