All Programs,Tous les programmes
April,Avril
August,Août
BadUserNameOrPasswordLoginErrorMessage,Nom d'utilisateur ou mot de passe erroné
"Before you can play this video, you need to have the '{product_name}'","Avant de pouvoir regarder cette vidéo, vous devez avoir le '{product_name}'"
Before you can playback recordings on this device you need to upgrade to the {offer} offer.,"Avant de pouvoir regarder vos enregistrements sur cet appareil, vous devez passer à l'offre {offer}."
Before you can record this channel you need to have the {offer} offer,"Avant de pouvoir enregistrer cette chaîne, vous devez avoir l'offre {offer}"
COOKIE_INFO,"En utilisant ce site, vous acceptez l'utilisation de cookies sur ce site"
Cannot record this channel,Impossible d'enregistrer cette chaîne
Cast,Distribution
Channels,Chaînes
Code incorrect,Votre code est incorrect
Connect,relier
Continue,Aller plus loin
Continue watching,Continuer à regarder
Date,Date
Days,Jours
December,Décembre
Director,Réalisateur
Duration,Durée
EOD,Erotique
Erotic,Erotique
Error occured,Erreur
Favorite,Favori
Favorite Movies,Favoris
Favorite catchups,Favoriet TV Gemist
Favorite channels,Chaînes favorites
Favorites,Favoris
Feature not available description,Cette fonctionnalité n'est pas encore disponible. Nous espérons qu'elle sera disponible dans quelques semaines.
February,Février
Films,Films
Films & Series,Films & Séries
Friday,Vendredi
Genre:,Genre:
Genres,genres
I have read the general terms and fully agree.,Je suis d'accord.
IFRAME_PROGRAM_INHOME_MASSAGE,Essayez de regarder ce programme sur la boîte
"It's not possible to rent this movie, your online wallet doesn't have enough money. Please contact the service desk.","La location de ce film est impossible, votre panier virtuel n'a pas assez de crédit. Veuillez contacter le service client."
January,Janvier
July,Juillet
June,Juin
LOGIN_BUTTON_TEXT,Connexion
Live Programs,Maintenant à la TV
March,Mars
May,Mai
Menu Settings Mobile services Generate a code,Menu > paramètres > Services Mobiles > Générer un code
Monday,Lundi
More information,Plus d'informations
NO_PROGRAM_INFORMATION,Aucune information sur le programme
New,Nouveau
New recordings,Nouveaux enregistrements
Newest,Les nouveautés
Newest movies,Locations de films les plus récentes
No,Non
No playback on this device.,Pas de retour possible sur cet appareil
NoMoreRoom,Pas d'espace disponible
November,Novembre
OK,Ok
October,Octobre
Offers,Packet de Films
On Demand,À la demande
POPUP_LOGIN_DESC,"Avant de pouvoir profiter de laLive TV, vous devez vous connecter"
POPUP_LOGIN_TITLE,Connexion
POPUP_PARENTAL_CONFIRM,validation parental
POPUP_PARENTAL_ENTER_PIN,Avant le contenu peut être consulté nécessité de saisir le code PIN de contrôle parental.
POPUP_PARENTAL_MESSAGE,Avant le contenu peut être consulté nécessité de saisir le code PIN de contrôle parental.
POPUP_PARENTAL_TITLE,La supervision des parents
POPUP_PROGRAM_DEVICE_NOT_AVAILABLE,Ce canal ne sont pas disponibles sur le dispositif actuel
POPUP_PROGRAM_INFO_MESSAGE,Ce canal n'a pas de date de programme
POPUP_PROGRAM_INFO_TITLE,Vous ne pouvez pas ouvrir ce canal
POPUP_PROGRAM_TOGGLE_RECORDING,enregistrement
POPUP_PROGRAM_TOGGLE_REMINDER,rappel
POPUP_PROGRAM_WATCH,Regarder
Pair to your Online TV decoder,Coupler avec votre décodeur
Planned,Plannifié
Please enter pin code to rent {quality} quality for {price},Vul hieronder de betaalpincode in om de {quality} kwaliteit te huren voor {price}
Please enter rental PIN,Saisissez votre code PIN
Please enter your,S'il vous plaît entrer votre code parental
Please enter your four digit,S'il vous plaît entrer votre code à quatre chiffres
Popular movies,Déplacements populaires
Quality,Qualité
Recommendations,Recommandations
Record,Enregistrer
Recording Removal Popup Question,êtes-vous sur de vouloir effacer cet enregistrement?
Recording Removal Popup Title,Effacer enregistrement
Recordings,Enregistrements
Register,Compte utilisateur
Reminders,Rappels
Remove recording,Effacer enregistrement
Rent movie,LOUER FILM
Rent {type} for {price},Louer {type} pour {prix}
Rental history,Historique de locations
Rental period,Période de location
Replay,Replay
Saturday,Samedi
Search,rechercher
Season,saison
Select the quality you want to look at,Sélectionnez la qualité de ce que vous voulez regarder
Select the quality you want to rent,Sélectionnez la qualité de ce que vous voulez louer
September,Septembre
Serie,Série
Series,Séries
Silverlight is not supported,N'est pas compatible avec Silverlight
Sorry,Désolé
Sorry the feature is not available,"Désolé, cette fonctionnalité n'est pas disponible"
Sport,Sport
Sunday,Dimanche
TOD,TV À LA DEMANDE
TV,Guide TV
TV Gemist,TV de rattrapage
TV Gids,Guide TV
TV Guide,Guide TV
TV on demand,TV À LA DEMANDE
TV recommendations,Recommandations
The following costs will be charged:,Les frais suivants sont facturés:
This channel is not available on the current device,La chaîne sélectionnée n'est pas disponible sur votre appareil actuel
This content contains erotic material which is not suited for visitors younger then 18 years!,"Attention, contenu erotique inadapté aux utilisateurs mineurs (-18 ans)!"
This episode is part of your {offer} offer. You can watch this episode unlimited times.,Cet episode fait partie de votre offre {ofrre}. Vous pouvez regarder cet épisode de façon illimitée.
This episode is still available for you and can still be watched for {timeLeft}.,Cet épisode est toujours disponible et vous pouvez le regarder pour encore {time left}
