ACTIVATE,Activate
Acties,Acties
Actions,Actions
Alternate DNS server,Alternate DNS server
"An error occurred, please try again later","An error occurred, please try again later"
Apply factory settings to the decoder,Apply factory settings to the decoder
Are you sure you want the box to auto detect DiSEqC configuration?,Are you sure you want the box to auto detect DiSEqC configuration?
Are you sure you want the box to perform channels scanning?,Are you sure you want the box to perform channels scanning?
Are you sure you want to apply factory settings?,Are you sure you want to apply factory settings?
Are you sure you want to search new updates?,Are you sure you want to search new updates?
At this moment you reached the minimum speed to be able to enjoy the interactive features,At this moment you reached the minimum speed to be able to enjoy the interactive features
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.
Audio output,Audio output
Auto DiSEqC configuration applied,Auto DiSEqC configuration applied
Auto detect DiSEqC configuration,Auto detect DiSEqC configuration
"Before you can create a pairing code, you need to have the {product_name}. To activate this, please call {callcenter_num}.","Before you can create a pairing code, you need to have the {product_name}. To activate this, please call {callcenter_num}."
Branch version,Branch version
Build version,Build version
CHANGE PIN,Change pin
Can't create the pairing code,Can't create the pairing code
Can't send diagnostics,Can't send diagnostics
Cancel auto detection,Cancel auto detection
Cancel downloading,Cancel downloading
Cancel installing,Cancel installing
Cancel scanning,Cancel scanning
Cancel searching,Cancel searching
Canceling...,Canceling...
Cancelling search,Cancelling search
Cannot check for updates now. Try again later.,Cannot check for updates now. Try again later.
Change FSK,Change FSK
Change PIN,Change PIN
Channels scanning has been aborted,Channels scanning has been aborted
Check for updates,Check for updates
Checking for updates ...,Checking for updates ...
Classes,Classes
Confirm new PIN,Confirm new PIN
Confirm your new billing PIN code,Confirm your new billing PIN code
Confirm your new parental control PIN code,Confirm your new parental control PIN
Couldn't find default configuration.,Couldn't find default configuration.
Create a pairing code,Create a pairing code
Current configuration:,Current configuration:
Custom configuration applied,Custom configuration applied
DEACTIVATE,Deactivate
DHCP is off,DHCP is off
DHCP is on,DHCP is on
Default configuration applied,Default configuration applied
Default gateway,Default gateway
Default settings,Default settings
Device,Device
DiSEqC auto scan cancelled,DiSEqC auto scan cancelled
DiSEqC configuration,DiSEqC configuration
DiSEqC configuration alert header,DiSEqC configuration
DiSEqC_AUTO,Auto
DiSEqC_Cancel,Cancel
DiSEqC_MANUAL_CUSTOM,Custom
DiSEqC_MANUAL_DEFAULT,Default
DiSEqC_MANUAL_OFF,off
DiSEqC_MANUAL_ON,on
DiSEqC_Save,Save
DiSEqC_UNDEFINED,Undefined
DiSEqC_port_unused,unused
Diagnostic was send successfully,Diagnostic was send successfully
Diagnostics,Diagnostics
Do you want to apply the auto detected configuration?,Do you want to apply the auto detected configuration?
Do you want to apply the custom configuration?,Do you want to apply the custom configuration?
Do you want to apply the default configuration?,Do you want to apply the default configuration?
"Do you want to reboot your TV decoder, to set the language to {lang}?","Do you want to reboot your TV decoder, to set the language to {lang}?"
Enter PIN to,Enter PIN to
Enter current PIN:,Enter current PIN
Enter current Parental PIN to change FSK level:,Enter current Parental PIN to change FSK level:
Enter new billing PIN,Enter new billing PIN
Enter new parental control PIN,Enter new parental control PIN
Environment,Environment
Explanation of parental control feature,"You have the possibility to activate / deactivate the parental control option. After deactivating the parental control, all content that is marked as adult can be accessed without entering the pin code."
FST scanning alert header,FST scanning alert header
FST version:,FST version:
FST:,FST:
Factory settings,Factory settings
Factory_settings_popup_header,Factory_settings_popup_header
Firmware type,Firmware type
Firmware version,Firmware version
Followind devices are currently connected. To unpair a device select it and press the OK button on your RCU,Following devices are currently connected. To unpair a device select it and press the OK button on your RCU
Found {tv_num} TV channels and {radio_num} radio channels,Found {tv_num} TV channels and {radio_num} radio channels
GENERAL,General
Hardware version,Hardware version
INFO,System info
INSTALLATION,Installation
IP address,IP address
IP external,IP external
IP internal,IP internal
Install new update,Install new update
Language,Language
Language change,Language change
Last scan:,Last scan:
Legal information,Legal information
Legal information content,Legal information content
MAC address,MAC address
MOBILE,Mobile
