Actions,Funkciók
Audio {1},Audio {1}
BACK,Vissza
Bookmark,Könyvjelző
CAST,Szereposztás
Enter your 4 digit purchase code here,Adja meg 4 számjegyű kódot vásárlást
FAVORITE,Kedvenc
GENRE,Műfaj
More,Több
Multiaudio,Multiaudio
PROMO,Előzetes
Pause TV,Pillanatmegállított tévézés
Prime,Főműsoridő
RATE THIS MOVIE,Értékelje a filmet
RENT,Kölcsönzés
RENT MOVIE,Film kölcsönzése
Recommendations,Ajánlások
Remove channel favorite,Csatorna eltávolítása a kedvencek közül
Renting failed,Sikertelen kölcsönzés
Set channel favorite,Csatorna beállítása kedvencként
Social,Közösségi
Subtitles,Subtitles
Subtitles {1},Subtitles {1}
Teletext,Teletext
WATCH MOVIE,Film megtekintése
airdate:,adás dátuma:
catchup,online tévéadás
live,élő
off,off
recording,felvétel
replay,visszajátszás
{d:Td} days remaining,{d:Td} nap maradt
{hours} hours remaining,{hours} óra maradt
{mins} minutes remaining,{mins} perc maradt
