Are you sure you want the box to auto detect DiSEqC configuration?,Are you sure you want the box to auto detect DiSEqC configuration?
At this moment you reached the minimum speed to be able to enjoy the interactive features,Op dit moment heeft u voldoende snelheid om te kunnen genieten van de interactieve diensten.
At this moment your internet connection was to low to fully enjoy our interactive services. Please check if there are no other services running in the background which influence the internet connection.,Op dit moment is uw internetsnelheid te laag om te kunnen genieten van de interactieve mogelijkheden. Controleer of er geen andere processen lopen die van invloed kunnen zijn op uw verbinding.
Auto DiSEqC configuration applied,Auto DiSEqC configuratie toegepast
Auto configuration,Automatische configuratie
Auto detect DiSEqC configuration,Auto detect DiSEqC configuration
Back,Terug
"Before you can continue, you need to install this update","Om optimaal te kunnen genieten, zorg er dan voor dat altijd de laatste updates zijn geïnstalleerd."
Cancel auto detection,Automatisch zoeken stoppen / opheffen
Cancel downloading,Cancel downloading
Cancel installing,Cancel installing
Cancel scanning,Stop met zoeken
Cancel searching,Cancel searching
Canceling...,Canceling...
Cancelling search,Canceling search
Cannot check for updates now. Try again later.,Cannot check for updates now. Try again later.
Channels scanning has been aborted,Channels scanning has been aborted
Checking for updates ...,Checking for updates ...
Choose your language,Taal kiezen
Completed,Completed
Current configuration:,Current configuration:
Custom configuration applied,Custom configuration applied
Default configuration applied,Standaardconfiguratie toegepast
Default settings,Standaard instellingen
DiSEqC OK,DiSEqC OK
DiSEqC auto scan cancelled,Automatsch DiSEqC zoeken gestopt.
DiSEqC configuration,DiSEqC instelling
DiSEqC configuration alert header,DiSEqC instelling
DiSEqC not OK,DiSEqC niet OK
DiSEqC_AUTO,Automatisch
DiSEqC_Cancel,Annuleren
DiSEqC_MANUAL_CUSTOM,Aangepaste instelling
DiSEqC_MANUAL_DEFAULT,Standaard
DiSEqC_MANUAL_OFF,uit
DiSEqC_MANUAL_ON,aan
DiSEqC_Save,Bewaren
DiSEqC_UNDEFINED,leeg
DiSEqC_port_unused,ongebruikt
Diagnostics check,Overzicht
Do you want to apply the auto detected configuration?,Wilt u de automatische configuratie gebruiken?
Do you want to apply the custom configuration?,Wilt u uw eigen configuratie gebruiken?
Do you want to apply the default configuration?,Wilt u de standaard configuratie gebruiken?
Downloading,Downloading
Enjoy TV,Tv kijken
Enjoy simply watching TV Online,Eenvoudig genieten met interactieve televisie van Online.nl
Enjoy various interactive features through network,Geniet van verschillende interactieve diensten
Enter current PIN,Vul huidige pincode in
Enter new billing PIN,Vul de nieuwe betaalpincode in
Enter new parental control PIN,Vul nieuwe ouderlijk toezicht pincode in
FST OK,Zenderlijst OK
FST configuration,Zenderlijst configuratie
FST not OK,Zenderlijst niet OK
FST version:,FST version:
FST:,Zenderlijst
Found {tv_num} TV channels and {radio_num} radio channels,Found {tv_num} TV channels and {radio_num} radio channels
General terms and conditions,Algemene voorwaarden
Install new update,Install new update
Installation wizard,Installatie hulp
Installing,Installing
Language not selected,Geen taal gekozen
Language selected,Taal gekozen
Language selection,Taal keuze
Last scan:,Laatste scan:
Make sure that your smart card is not ejected,Zorg ervoor dat de smart card aanwezig is
Manual configuration,Zelf configureren
Most recent firmware,Meest recente software
Network OK,Snelheid is op het moment van het scannen voldoende.
Network connection,Internetsnelheid
Network not OK,Snelheid is op het moment van het scannen helaas niet voldoende om optimaal te kunnen genieten.
New update available,Nieuwe update beschikbaar
Next,Volgende
No old PIN,Oude pincode niet opgegeven
No updates available,Er zijn geen updates beschikbaar
No upgrade available,No upgrade available
"No, keep my current configuration","Nee, huidige configuratie behouden"
OTA checking upgrade availability error,OTA checking upgrade availability error
OTA upgrade,OTA upgrade
OTA upgrade error,OTA upgrade error
Parental code,Ouderlijk toezicht
Port {port},Poort {port}
Previous,Vorige
Purchase code,Betaalpincode
Purchase pin code,Betaalpincode
Radio channels number:,Aantal radio kanalen:
STB Upgrade,STB Upgrade
Scan again,Opnieuw scannen
Scan for DVB-s channels,Zenders zoeken
Search OTA upgrade,Search OTA upgrade
Searching OTA upgrade,Searching OTA upgrade
Setting DiSEqC configuration failed,DiSEqC configuratie mislukt
Skip,Overslaan
Start,Start
Status:,Status:
TV channels number:,Aantal TV kanalen:
TV operator:,TV aanbieder:
Testing connection speed,Testen van de internetsnelheid
The interative services are reachable at the moment,De interactieve diensten zijn beschikbaar vanaf nu
The interative services are unreachable at the moment,De interactieve diensten zijn niet beschikbaar
There is a newer version available: {version},There is a newer version available: {version}
There is an update available,Er is een update beschikbaar
There is no update available,Decoder is voorzien van de laatste software
"To redo a step, you can select your option by pressing [OK]","Om een stap over te doen, kunt u hieronder een keuze maken door op [OK] te klikken."
Unable to complete channels scanning,Unable to complete channels scanning
Unable to start auto DiSEqC scanning,Auto DiSEqC zoeken niet mogelijk
Unable to start channels scanning,Unable to start channels scanning
Unable to start scanning,Unable to start scanning
Update now,Update now
Upgrade error,Upgrade error
Upgrade scanning has been aborted,Upgrade scanning has been aborted
We are checking the connection speed between you and our streaming servers,We zijn nu de internet snelheid aan het testen
We are checking the reachability of the interative services,Controle beschikbaarheid van interactieve diensten.
Welcome,Welkom
"Yes, apply the custom configuration","Ja, eigen configuratie gebruiken"
"Yes, apply the default configuration","Ja, standaard configuratie gebruiken"
"Yes, apply the detected configuration","Ja, gevonden instelling gebruiken"
"Yes, scan now","Ja, opnieuw scannen"
You can activate the Parental Controls to help manage how your children use  the Television,"Om erotische content af te schermen voor kinderen, kan er gebruik worden gemaakt van een ouderlijk toezicht code."
You can activate the Purchase Pin Page,Om betalingen te kunnen verrichten moet u gebruik maken van deze betaalpincode
You need an Internet connection to change your purchase pin code,U heeft verbinding met het internet nodig om de transactie PIN aan te passen.
Your TV decoder is up to date,Your Set Top Box is up to date
Your parental code was not set succesfully,Er is geen ouderlijk toezicht code ingesteld
Your parental code was set succesfully,Ouderlijk toezicht code ingesteld
Your purchase code was not set succesfully,Er is geen betaal pincode ingesteld
Your purchase code was set succesfully,Uw betaal pincode is succesvol ingesteld
Your version is up to date,De software is up-to-date
never scanned,nooit
old PIN incorrect,Oude pincode onjuist
